model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;29;1;1;1;1;1;1.0;0.0;1;1;269;340;740;456;476;456.2;179.91720317968483;269;740;15;17;17;16;18;16.6;1.1401754250991378;15;18
Lang;30;4;3;5;5;6;4.6;1.1401754250991378;3;6;76;49;1532;367;3;405.4;645.7850261503436;3;1532;10;9;9;8;9;9.0;0.7071067811865476;8;10
Lang;31;3;1;1;4;3;2.4;1.3416407864998738;1;4;1856;594;621.5;1427;1797;1259.1;616.9903159693837;594;1856;9;10;9;9;9;9.2;0.4472135954999579;9;10
Lang;32;251;648;377;19;180;295.0;235.9396109177092;19;648;524;993.5;407.5;238.5;491;530.9;281.2310882530592;238.5;993.5;46;50;30;59;43;45.6;10.597169433391164;30;59
Lang;33;5;7;1;4;8;5.0;2.7386127875258306;1;8;666;1189;1209;374;500;787.6;389.63611228940266;374;1209;11;10;10;11;11;10.6;0.5477225575051662;10;11
Lang;34;32;35;33;29;28;31.4;2.8809720581775866;28;35;660;656;614;756;657;668.6;52.4099227246139;614;756;44;82;51;41;46;52.8;16.72423391369542;41;82
Lang;35;1;2;3;1;1;1.6;0.8944271909999159;1;3;133;411;208;141;252.5;229.1;113.00132742583159;133;411;2;3;3;2;2;2.4;0.5477225575051661;2;3
Lang;36;101;10;170;1;567.5;169.9;232.8777576326258;1;567.5;305;605;1156.5;1099;256.5;684.4;426.64935837289147;256.5;1156.5;15;48;28;54;50;39.0;16.76305461424021;15;54
Lang;37;3;4;2;3;3;3.0;0.7071067811865476;2;4;277;336;264.5;82.5;634;318.8;200.11265577169274;82.5;634;4;2;3;3;6;3.6;1.5165750888103102;2;6
Lang;38;5;4;3;4;3;3.8;0.8366600265340756;3;5;125.5;440.5;130;136;280;222.4;138.09208883929594;125.5;440.5;4;5;11;9;10;7.8;3.1144823004794873;4;11
Lang;39;13;60;214;15;211;102.6;102.07497244672662;13;214;125.5;308.5;571;628;714;469.4;244.6741200045481;125.5;714;15;45;38;44;21;32.6;13.758633653092156;15;45
Lang;40;2;2;2;1;2;1.8;0.4472135954999579;1;2;729;1066;338;892;781;761.2;269.5082559032283;338;1066;11;9;9;9;8;9.2;1.0954451150103321;8;11
Lang;41;6;8;5;7;5;6.2;1.3038404810405297;5;8;200;87;168;154;130;147.8;42.38159978103705;87;200;1;3;1;1;1;1.4;0.8944271909999161;1;3
Lang;42;1;17;3;9;7;7.4;6.228964600958975;1;17;183.5;284;142;13;269;178.3;109.62185001175632;13;284;5;6;18;6;5;8.0;5.612486080160912;5;18
