model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;33;8;8;4;3;6;5.8;2.280350850198276;3;8;787;587;819;949;357;699.8;231.38107096303276;357;949;15;13;12;13;15;13.6;1.3416407864998738;12;15
Lang;34;26;32;36;44;32;34.0;6.6332495807108;26;44;785;657;622.5;608.5;618;658.2;73.21253308006764;608.5;785;45;71;58;48;40;52.4;12.300406497347964;40;71
Lang;35;3;3;2;2;2;2.4;0.5477225575051661;2;3;216.5;204;275.5;35.5;746.5;295.6;267.4014771836535;35.5;746.5;2;3;3;3;1;2.4;0.8944271909999159;1;3
Lang;36;80;65;79;59;79;72.4;9.73652915571047;59;80;727.5;1026;1094;531;1063;888.3;247.6458156319222;531;1094;34;52;21;30;28;33.0;11.61895003862225;21;52
Lang;37;5;6;1;2;2;3.2;2.16794833886788;1;6;277;304;156;198;38;194.6;105.81020744710786;38;304;4;3;4;2;4;3.4;0.8944271909999159;2;4
Lang;38;2;2;6;7;3;4.0;2.345207879911715;2;7;23;7;177;90;52;69.8;67.73256233156988;7;177;4;2;4;3;8;4.2;2.280350850198276;2;8
Lang;39;94;29;28;48;15;42.8;30.946728421595715;15;94;822;38;317;150;725;410.4;347.707204411988;38;822;24;43;46;26;29;33.6;10.16366075781753;24;46
Lang;40;1;2;1;1;2;1.4;0.5477225575051661;1;2;1045;671;885;1061;722;876.8;179.30755700750598;671;1061;12;11;8;9;7;9.4;2.073644135332772;7;12
Lang;41;6;7;7;6;5;6.2;0.8366600265340756;5;7;194.5;181.5;192.5;118;173;171.9;31.35960777815947;118;194.5;3;4;2;4;1;2.8;1.3038404810405297;1;4
Lang;42;1;9;6;10;6;6.4;3.5071355833500366;1;10;155;10;391.5;149;244;189.9;140.37823905434917;10;391.5;4;6;16;9;5;8.0;4.847679857416329;4;16
Lang;43;2;5;1;6;1;3.0;2.345207879911715;1;6;127;83;44;71.5;123;89.7;35.230668458035254;44;127;3;9;10;2;4;5.6;3.646916505762094;2;10
Lang;44;17;9;6;3;14;9.8;5.718391382198319;3;17;124;138;167;148.5;147;144.9;15.733721746617993;124;167;26;20;19;20;22;21.4;2.7928480087537886;19;26
Lang;45;12;3;6;21;20;12.4;8.080841540334768;3;21;177.5;392;145;128;888;346.1;321.01292808857403;128;888;17;17;18;18;22;18.4;2.073644135332772;17;22
Lang;46;2;1;2;1;1;1.4;0.5477225575051661;1;2;83;75.5;101;67;74;80.1;12.99230541512937;67;101;4;4;2;4;2;3.2;1.0954451150103321;2;4
Lang;47;3;5;4;3;2;3.4;1.140175425099138;2;5;210.5;364;324;162;79;227.9;116.80667789129181;79;364;2;2;2;2;1;1.8;0.4472135954999579;1;2
Lang;48;2;1;1;2;2;1.6;0.5477225575051661;1;2;143;162;163;160.5;142;154.1;10.632497354808041;142;163;11;5;8;2;3;5.8;3.7013511046643495;2;11
Lang;49;2;3;3;3;3;2.8;0.44721359549995787;2;3;144;28;172;106;76;105.2;56.526100166206405;28;172;1;3;1;5;3;2.6;1.6733200530681511;1;5
Lang;50;5;17;3;12;10;9.4;5.594640292279746;3;17;334.5;36;162;206;298;207.3;118.11413971239854;36;334.5;11;12;3;28;12;13.2;9.093954035511725;3;28
Lang;51;6;10;14;12;1;8.6;5.176871642217914;1;14;38;117;41.5;17;32;49.1;39.09667505044387;17;117;7;14;16;12;17;13.2;3.96232255123179;7;17
