model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;8;36;310;148;271;50;163.0;124.89595669996687;36;310;619;341;817;204;207;437.6;271.07526630070845;204;817;352;74;6;496;184;222.4;201.23319805638434;6;496
Math;9;627;37;196;260;381;300.2;220.8363647590677;37;627;1886;1250;322.5;1911;1730;1419.9;668.5325721309322;322.5;1911;1515;1503;2016;1947;1816;1759.4;239.64202469516903;1503;2016
Math;10;247;1021;355;1595;1660;975.6;665.2298850773318;247;1660;188.5;824;227;454.5;1420;622.8;512.2519643690983;188.5;1420;924;1297;520;1206;232;835.8;453.2760748153381;232;1297
Math;12;2374;1800;2374;2101;2362;2202.2;253.26507852445823;1800;2374;1738;1897;2211;458;2032;1667.2;697.9940544159384;458;2211;2339;2374;2371;2356;2339;2355.8;16.783920876839236;2339;2374
Math;15;2634;722;161;2628;1210;1471.0;1122.1007084927805;161;2634;1030;2609;2618;1146;521.5;1584.9;967.9156988085275;521.5;2618;2458;1676;2181;2212;1411;1987.6;429.708389492223;1411;2458
Math;16;229;69.5;92;714;325;285.9;260.9895591781403;69.5;714;383;1711;475.5;761;523;770.7;543.8446009661216;383;1711;144;449;169;690;287;347.8;226.13204107335167;144;690
Math;17;540;56;67;396;734;358.6;296.57511696027365;56;734;438;1121;119.5;518;59.5;451.2;423.2972655238869;59.5;1121;691;841;669;946;1048;839.0;162.7405911258774;669;1048
Math;19;269;1383;61;42;112;373.4;571.388921838707;42;1383;2392;560.5;2019;420;1988;1475.9;915.0580855880133;420;2392;2545;2309;1456;1722;1164;1839.2;577.7843023135882;1164;2545
Math;21;9;17;10;4;7;9.4;4.8270073544588685;4;17;2880;991.5;1451;2893;2560;2155.1;878.0151194597961;991.5;2893;15;11;13;22;12;14.6;4.393176527297759;11;22
Math;22;5;28;791;272;2;219.6;338.87947710063526;2;791;154.5;824;270;719;612;515.9;290.03758377148296;154.5;824;1017;377;1242;653;1365;930.8;411.30061998494483;377;1365
Math;23;984;1349;1641.5;512.5;1597;1216.8;472.39636429591627;512.5;1641.5;313;792;794;348.5;1202;689.9;368.14236376706225;313;1202;2178;2103;2166;2173;2237;2171.4;47.58466139419298;2103;2237
Math;24;1231;1965;1434;162;1895;1337.4;725.7784097091893;162;1965;388;857;1811;2126;1343;1305.0;702.3378816495662;388;2126;1785;2055;2202;2160;2214;2083.2;178.0721763780069;1785;2214
Math;25;539;520;545;548;547;539.8;11.606032913963324;520;548;363;403;70.5;277;367;296.1;134.34117016015603;70.5;403;510;539;548;532;547;535.2;15.514509338035797;510;548
Math;26;560;1595;143;740;1513;910.2;627.0013556604164;143;1595;1579;234;1735;819;1264;1126.2;609.3124814083493;234;1735;803;2089;1897;1498;1151;1487.6;527.1089071529716;803;2089
Math;27;1573;506;1163;850;604;939.2;435.8230145368645;506;1573;192.5;225;1602;290.5;859;633.8;605.7731217213257;192.5;1602;1706;741;1522;339;1811;1223.8;648.5003469544176;339;1811
Math;28;17;828;1854;2065;458;1044.4;886.4706988953442;17;2065;3787;2368;3614;5442;3383;3718.8;1109.332547075042;2368;5442;2912;3725;3998;4549;3702;3777.2;591.8992312885699;2912;4549
