model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;22;40;2;29;28;18;23.4;14.275853739794337;2;40;146;192;260;112;53;152.6;78.57989564767823;53;260;23;28;44;40;36;34.2;8.613942186943213;23;44
Lang;23;199;183;57;301;225;193.0;88.48728722251576;57;301;64;62;60.5;54.5;47.5;57.7;6.713791775144654;47.5;64;142;298;334;259;128;232.2;92.74265469566849;128;334
Lang;24;28;40;79;68;79;58.8;23.46699810372004;28;79;1240;1141;1282;1406;677;1149.2;280.564965738775;677;1406;107;395;1054;113;1043;542.4;476.4502072619971;107;1054
Lang;25;4;9;10;11;2;7.2;3.96232255123179;2;11;4;4;4.5;18;16;9.3;7.067531393633848;4;18;2;3;12;5;6;5.6;3.9115214431215897;2;12
Lang;26;3;58;53;16;32;32.4;23.52232981658067;3;58;184;111;44.5;332;289;192.1;119.7812589681708;44.5;332;389;153;162;289;93;217.2;119.65032386082372;93;389
Lang;27;19;83;233;144;13;98.4;92.23773631220575;13;233;944;1216;777;1232;342.5;902.3;366.7167844536162;342.5;1232;68;125;85;186;96;112.0;46.27634384866635;68;186
Lang;28;2;7;4;6;5;4.8;1.9235384061671346;2;7;3.5;5;8;25;12;10.7;8.628441342444185;3.5;25;4;2;2;9;5;4.4;2.8809720581775866;2;9
Lang;29;766;400;355;332;106;391.8;238.067637447848;106;766;839;484;451;953;262.5;597.9;287.7808193747457;262.5;953;738;943;761;748;1006;839.2;125.76843801208632;738;1006
Lang;30;2;4;2;2;1;2.2;1.0954451150103321;1;4;1013;580;906;450;1784;946.6;521.6088572867604;450;1784;18;16;13;23;45;23.0;12.82575533838066;13;45
Lang;31;23;108;62;1043;340;315.2;425.0678769326141;23;1043;1104;1794;274;780;2009;1192.2;715.9093518037042;274;2009;1690;1217;339;1376;1615;1247.4;541.6819177340149;339;1690
Lang;32;183;209;160;33;121;141.2;68.57988043150849;33;209;931;183;551;451;60.5;435.3;340.3974882398517;60.5;931;1159;990;1162;667;418;879.2;327.2135388397002;418;1162
Lang;33;852;901;109;792;515;633.8;329.22742899096363;109;901;1250;1074;542;893;132.5;778.3;446.09158252538236;132.5;1250;941;259;85;461;1145;578.2;450.487735682116;85;1145
Lang;34;24;35;39;52;26;35.2;11.256109452204168;24;52;696;711;718;559;285.5;593.9;184.30016277800735;285.5;718;52;67;71;53;44;57.4;11.23832727766904;44;71
Lang;35;590;315;662;383;88;407.6;228.75379778268163;88;662;94.5;142.5;120;119.5;144;124.1;20.302093488111023;94.5;144;9;487;439;258;233;285.2;189.82149509473368;9;487
Lang;36;55;59;73;56;70;62.6;8.324662155306964;55;73;123;958;1304;522;1454;872.2;551.4174462238205;123;1454;56;72;38;39;20;45.0;19.748417658131498;20;72
Lang;37;20;156;29;257;65;105.4;100.38077505179965;20;257;573;377;445;544;909;569.6;205.23108926281125;377;909;346;76;419;173;271;257.0;136.17819208669206;76;419
Lang;38;237;43;91;104;187;132.4;78.15881268289584;43;237;482;485;121;333;381;360.4;148.99597309994655;121;485;89;182;26;8;360;133.0;143.99652773591453;8;360
Lang;39;134;30;123;137;24;89.6;57.42212117294171;24;137;528;1094;679;338;192.5;566.3;348.0239934257407;192.5;1094;580;74;680;17;242;318.6;298.16069492808737;17;680
Lang;40;1;3;1;3;1;1.8;1.0954451150103324;1;3;1036;503;478;1054;922;798.6;285.9104754988876;478;1054;749;801;221;416;142;465.8;299.92282340628896;142;801
Lang;41;21;20;68;15;33;31.4;21.501162759255603;15;68;110;79;24.5;37;133;76.7;46.32709790176803;24.5;133;4;74;75;13;90;51.2;39.619439672968625;4;90
Lang;42;17;95;141;258;251;152.4;103.23662140926542;17;258;479;241;95.5;517;294;325.3;174.11691474408798;95.5;517;43;175;268;179;62;145.4;92.84018526478714;43;268
Lang;43;3;5;1;6;1;3.2;2.280350850198276;1;6;99;204;194;113;215;165.0;54.59395570940065;99;215;5;4;8;2;3;4.4;2.3021728866442674;2;8
Lang;44;7;8;7;1;16;7.8;5.357238094391549;1;16;41;89;140;13.5;97;76.1;49.59132988739059;13.5;140;28;12;14;12;27;18.6;8.17312669668102;12;28
Lang;45;10;3;8;25;12;11.6;8.203657720797473;3;25;857;896;850;1032;124.5;751.9;358.3019676194927;124.5;1032;20;16;22;24;287;73.8;119.21912598236912;16;287
Lang;46;1;1;3;3;1;1.8;1.0954451150103324;1;3;121;49.5;44;43.5;37.5;59.1;34.86294594551642;37.5;121;3;5;6;11;3;5.6;3.2863353450309964;3;11
Lang;47;430;654;256;3;9;270.4;279.5805787246317;3;654;732;583;322;543;874;610.8;207.80928756915557;322;874;374;345;5;33;494;250.2;218.54679132853906;5;494
Lang;48;32;20;123;41;127;68.6;52.04132972936029;20;127;15.5;20.5;38;32;28;26.8;8.962421547773793;15.5;38;160;219;224;215;200;203.6;25.967287112827172;160;224
Lang;49;2;23;24;2;24;15.0;11.874342087037917;2;24;164;24.5;44;76;49.5;71.6;54.83087633806339;24.5;164;3;8;9;7;6;6.6;2.3021728866442674;3;9
Lang;50;7;24;9;14;14;13.6;6.58027355054484;7;24;210;229;257;188;140;204.8;44.211989324164094;140;257;1;11;5;24;7;9.6;8.820430828479978;1;24
Lang;51;8;9;17;15;1;10.0;6.324555320336759;1;17;90;139;110;144;84;113.4;27.45541840875859;84;144;42;31;104;46;45;53.6;28.797569341873285;31;104
Lang;52;10;16;87;20;82;43.0;38.09199390948182;10;87;89;192;63;93;30.5;93.5;60.460731057439254;30.5;192;41;96;115;32;82;73.2;35.63285001231308;32;115
Lang;53;79;76;46;116;136;90.6;35.50774563387544;46;136;62;169;42;152;149;114.8;58.26405409856063;42;169;103;138;52;121;87;100.2;33.04088376542008;52;138
Lang;54;2;4;3;5;4;3.6;1.140175425099138;2;5;15;5.5;10.5;10;7.5;9.7;3.5812009158939966;5.5;15;11;8;5;7;15;9.2;3.8987177379235853;5;15
Lang;55;9;14;7;7;7;8.8;3.03315017762062;7;14;34;13;1;37;51;27.2;19.979989989987484;1;51;19;14;8;7;12;12.0;4.847679857416329;7;19
Lang;56;115;183;84;267;74;144.6;80.60583105458315;74;267;392;53.5;449;303;154;270.3;164.57657792043193;53.5;449;196;378;284;203;136;239.4;93.67390244886779;136;378
Lang;57;6;4;4;5;6;5.0;1.0;4;6;99;106;125;138;99;113.4;17.386776584519627;99;138;6;6;7;5;8;6.4;1.140175425099138;5;8
Lang;58;43;12;4;4;19;16.4;16.133815419794537;4;43;1119;611;1232;266.5;557;757.1;405.7632314540094;266.5;1232;854;58;266;304;39;304.2;329.6531510542558;39;854
Lang;59;4;5;3;3;2;3.4;1.140175425099138;2;5;801;482;352;845;799;655.8;223.54350806945837;352;845;311;87;51;233;291;194.6;118.86462888513134;51;311
